date
1980-01-09
1980-02-05
1980-02-22
1980-03-07
1980-03-18
1980-04-22
1980-04-29
1980-05-06
1980-05-20
1980-06-05
1980-07-09
1980-07-25
1980-08-12
1980-08-22
1980-09-16
1980-10-21
1980-11-18
1980-11-26
1980-12-05
1980-12-12
1980-12-19
1981-02-03
1981-02-24
1981-03-31
1981-04-28
1981-05-06
1981-05-18
1981-06-17
1981-07-07
1981-07-17
1981-08-07
1981-08-18
1981-10-06
1981-11-17
1981-12-22
1982-02-02
1982-03-30
1982-05-18
1982-05-20
1982-07-01
1982-07-15
1982-08-24
1982-09-24
1982-10-05
1982-11-16
1982-12-21
1983-01-14
1983-01-21
1983-01-28
1983-02-09
1983-03-29
1983-04-29
1983-05-24
1983-06-23
1983-07-13
1983-08-23
1983-09-08
1983-10-04
1983-11-15
1983-12-20
1984-01-31
1984-03-20
1984-03-27
1984-05-22
1984-07-17
1984-08-21
1984-10-02
1984-11-07
1984-12-18
1985-01-18
1985-02-13
1985-03-26
1985-05-21
1985-07-10
1985-08-20
1985-09-23
1985-10-01
1985-11-05
1985-12-17
1986-02-12
1986-04-01
1986-04-21
1986-05-20
1986-07-09
1986-08-19
1986-09-23
1986-11-05
1986-12-16
1987-02-11
1987-02-23
1987-03-31
1987-04-29
1987-05-19
1987-07-07
1987-08-18
1987-09-22
1987-10-19
1987-10-20
1987-10-21
1987-10-22
1987-10-23
1987-10-26
1987-10-27
1987-10-28
1987-10-29
1987-10-30
1987-11-03
1987-12-16
1988-01-05
1988-02-10
1988-03-29
1988-05-17
1988-06-30
1988-07-19
1988-08-16
1988-09-20
1988-10-17
1988-11-01
1988-11-22
1988-12-14
1989-02-08
1989-03-28
1989-05-16
1989-05-31
1989-06-05
1989-07-06
1989-07-26
1989-08-22
1989-10-03
1989-10-16
1989-10-17
1989-10-18
1989-11-14
1989-12-19
1990-02-07
1990-03-27
1990-04-11
1990-05-15
1990-07-03
1990-08-21
1990-09-07
1990-09-17
1990-10-02
1990-11-13
1990-12-07
1990-12-18
1991-01-09
1991-02-01
1990-02-06
1991-03-26
1991-04-12
1991-04-30
1991-05-01
1991-05-14
1991-06-10
1991-06-24
1991-07-03
1991-08-05
